,1,2,3,4,5,6
0,강남구,상설선별진료소,강남구보건소*(검체채취 가능),,"(평일) 09:00~18:00(토요일, 일요일, 공휴일) 09:00~13:00",없음
1,강남구,임시선별검사소,삼성역6번 출구(코엑스)*(검체채취 가능),,"(평일) 09:00~17:00(토요일, 일요일, 공휴일) 09:00~13:00※ 운영여건에 따라 조기마감 될 수 있습니다.","(평일) 12:00~13:00(토요일, 일요일, 공휴일) 소독시간 없음"
2,강남구,임시선별검사소,세곡동 방죽공원,,"(평일) 09:00~17:00(토요일, 일요일, 공휴일) 09:00~13:00※ 운영여건에 따라 조기마감 될 수 있습니다.","(평일) 12:00~13:00(토요일, 일요일, 공휴일) 소독시간 없음"
3,강동구,,"암사역사공원 1, 2주차장 임시선별검사소*(검체채취 가능)",,"(평일) 09:00~18:00※ 소독시간 12:00~13:00(토요일, 공휴일) 13:00~17:00(일요일) 미운영※ 운영여건에 따라 조기마감 될 수 있습니다.",
4,강동구,상설선별진료소,강동구보건소*(검체채취 가능),,(평일) 09:00~18:00(주말/공휴일) 09:00~13:00,(평일) 13:00~14:00 / 18:00~19:00(주말/공휴일) 13:00~14:00
5,강동구,임시선별검사소,온조대왕옆공영주차장*(검체채취 가능),,(평일) 09:00~18:00※ 소독시간 12:00~13:00(토요일) 미운영(일요일/공휴일) 13:00~17:00※ 운영여건에 따라 조기마감 될 수 있습니다.,
6,강북구,상설선별진료소,강북구보건소*(검체채취 가능),,(주말/공휴일) 09:00~13:00,
7,강북구,임시선별검사소,시범공영주차장*(검체채취 가능),,※ 운영여건에 따라 조기마감 될 수 있습니다.,(평일) 12:00~13:00
8,강북구,임시선별검사소,강북구민운동장*(검체채취 가능),,"※3.14.(월)~ 천막보수공사로 별도공지시까지 신속항원검사 불가, PCR만 가능※3.16.(수) 천막보수공사로 미운영(평일) 09:00~17:00(토요일, 일요일, 공휴일) 09:00~13:00※ 운영여건에 따라 조기마감 될 수 있습니다.","(평일) 12:00~13:00(토요일, 일요일, 공휴일) 소독시간 없음"
9,강서구,상설선별진료소,강서구보건소*(검체채취 가능),,"평일 09:00~11:30 ,13:30~17:30토요일 공휴일 :09:00~13:00일요일 :미운영검사자가 많을 시 일찍 마감 될 수 있습니다.",평일 11:30~13:30
10,강서구,임시선별검사소,마곡8구역공영주차장 2센터,,"(평일) 10:00~17:00(토요일, 공휴일)10:00~14:00(일요일) 미운영※ 운영여건에 따라 조기마감 될 수 있습니다.","(평일) 12:30~13:30(토요일, 공휴일) 소독시간 없음"
11,강서구,임시선별검사소,마곡8구역공영주차장 1센터,,"(평일) 10:00~17:00(토요일, 공휴일) 10:00~14:00(일요일) 미운영※ 운영여건에 따라 조기마감 될 수 있습니다.","(평일) 11:30~12:30(토요일, 공휴일) 10:00~14:00"
12,관악구,,관악구 보건소 선별진료소,,"(평일) 09:00~18:00(토요일, 일요일) 09:00~13:00(공휴일) 09:00~18:00",평일소독시간 12시~13시공휴일 소독시간 13시~14시
13,관악구,임시선별검사소,낙성대공원*(검체채취 가능),,(평일) 10:00~18:00(토요일/공휴일) 10:00~15:00(일요일) 미운영※ 운영여건에 따라 조기마감 될 수 있습니다.,(평일 12:00~13:00)(토요일/공휴일 소독시간 없음)
14,관악구,임시선별검사소,신림 체육센터*(검체채취 가능),,(평일) 10:00~18:00(토요일) 10:00~15:00(공휴일) 10:00~15:00(일요일) 미운영※ 운영여건에 따라 조기마감 될 수 있습니다.,(평일/토요일/공휴일) 12:00~13:00
15,광진구,,중곡보건지소 임시선별검사소*(검체채취 가능),,"※ 3.9.(수) 미운영(평일) 09:00~18:00(토요일, 일요일) 09:00~13:00(공휴일) 09:00~18:00※ 운영여건에 따라 조기마감 될 수 있습니다.",
16,광진구,상설선별진료소,광진구보건소*(검체채취 가능),,(평일 및 공휴일) 09:00~18:00  -접수마감시간: 12:30/17:30(토요일 및 일요일) 09:00~13:00,"(평일) 12:00~13:00(공휴일) 13:00~14:00(토요일, 일요일) 없음"
17,광진구,임시선별검사소,자양보건지소*(검체채취 가능),,"(평일) 09:00~17:00(토요일, 일요일, 공휴일) 09:00~13:00※ 운영여건에 따라 조기마감 될 수 있습니다.","(평일) 12:00~13:00(토요일, 일요일, 공휴일) 소독시간 없음"
18,광진구,코로나19 검사소,광진 광장,,월~일 13:00~21:00,
19,구로구,상설선별진료소,구로구보건소*(검체채취 가능),,(평일) 09:00~18:00(토요일) 09:00~13:00일요일 미운영,(평일) 12:00~13:00토요일중단시간없음
20,구로구,임시선별검사소,구로역 광장,,"(평일) 09:00~17:00(일요일, 공휴일) 09:00~13:00 (토요일) 미운영※ 운영여건에 따라 조기마감 될 수 있습니다.","(평일) 12:00~13:00(일요일, 공휴일) 소독시간 없음"
21,구로구,임시선별검사소,오류동역 광장,,"(평일) 10:00~18:00(토요일) 09:00~13:00(일요일, 공휴일) 미운영※ 운영여건에 따라 조기마감 될 수 있습니다.",※ 소독시간(평일) 14:00~15:00(토요일) 소독시간 없음
22,구로구,코로나19 검사소,테크노 근린공원*(검체채취 가능),,월~일 13:00~21:00,
23,금천구,,금천구 보건소 선별진료소,,"(평일, 공휴일) 09:00~18:00 (주말) 09:00~13:00",공휴일 12:00~13:00
24,금천구,임시선별검사소,독산보건분소*(검체채취 가능),,"(평일) 09:00~18:00 (토요일, 공휴일) 09:00~13:00(일요일) 미운영※ 운영여건에 따라 조기마감 될 수 있습니다.","(평일) 12:00~13:00(토요일, 공휴일) 소독시간 없음"
25,금천구,임시선별검사소,필승아파트,,"(평일) 09:00~18:00(토요일, 일요일) 09:00~13:00(공휴일) 09:00~18:00※ 운영여건에 따라 조기마감 될 수 있습니다.",소독시간 없음
26,노원구,상설선별진료소,노원구보건소*(검체채취 가능),,2.3일부터(평일) 09:00~18:00(토요일/일요일/공휴일) 09:00~13:00,(평일) 12:00~13:00
27,노원구,임시선별검사소,노원구민의전당*(검체채취 가능),,"(평일) 09:00~17:00(토요일, 일요일, 공휴일) 09:00~13:00※ 운영여건에 따라 조기마감 될 수 있습니다.","(평일) 12:00~13:00(토요일, 일요일, 공휴일) 소독시간 없음"
28,노원구,임시선별검사소,노원구청주차장*(검체채취 가능),,"(평일) 09:00~17:00*접수마감 11:30 / 16:30(토요일, 일요일, 공휴일) 09:00~13:00*접수마감 12:30※ 운영여건에 따라 조기마감 될 수 있습니다.","(평일) 12:00~13:00(토요일, 일요일, 공휴일) 소독시간 없음"
29,도봉구,상설선별진료소,도봉구보건소*(검체채취 가능),,(평일) 09:00~18:00(주말/공휴일) 09:00~13:00,(평일) 12:00~13:00
30,도봉구,임시선별검사소,도봉구민회관*(검체채취 가능),,"(평일) 09:00~17:00(토요일, 일요일, 공휴일) 09:00~13:00※ 운영여건에 따라 조기마감 될 수 있습니다.","(평일) 12:00~13:00(토요일, 일요일, 공휴일) 소독시간 없음"
31,도봉구,임시선별검사소,도봉구청 광장*(검체채취 가능),,"(평일) 09:00~17:00(토요일, 일요일, 공휴일) 09:00~13:00※ 운영여건에 따라 조기마감 될 수 있습니다.","(평일) 12:00~13:00(토요일, 일요일, 공휴일) 소독시간 없음"
32,도봉구,코로나19 검사소,창동역(서) 공영주차장*(검체채취 가능),,(매일) 13:00 ~ 21:00  ※ 종료 후 일괄소독 실시,없음
33,동대문구,상설선별진료소,동대문구보건소*(검체채취 가능),,"(평일,공휴일) 09:00~18:00  주말(토.일)  09:00~13:00** 신속항원검사는 운영종료 30분전 마감됩니다. **",
34,동대문구,임시선별검사소,청량리역 광장,,"(평일) 9:00~18:00*접수마감 17:30(토요일, 일요일, 공휴일) 09:00~13:00*접수마감 12:30※ 운영여건에 따라 조기마감 될 수 있습니다.","(평일) 소독시간 없음(토요일, 일요일, 공휴일) 소독시간 없음"
35,동대문구,임시선별검사소,장안근린공원,,"※3.14.(월)~ 천막보수공사로 별도공지시까지 신속항원검사, PCR 불가, 자가진단키트만 배부(평일) 09:00~18:00*접수마감 17:30(토요일, 일요일, 공휴일) 09:00~13:00*접수마감 12:30※ 운영여건에 따라 조기마감 될 수 있습니다.","(평일) 소독시간 없음(토요일, 일요일, 공휴일) 소독시간 없음"
